City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
125,Hobbs,US,2022-05-28 14:26:34,32.7026,-103.136,81.07,46,0,11.5
126,Guerrero Negro,MX,2022-05-28 14:30:48,27.9769,-114.0611,63.21,74,57,16.6
127,Shelburne,CA,2022-05-28 14:30:17,44.0787,-80.2041,60.12,77,1,10.98
128,Kodinsk,RU,2022-05-28 14:30:48,58.6881,99.1844,45.88,50,38,2.15
129,Saint George,US,2022-05-28 14:30:19,37.1041,-113.5841,81.25,18,0,5.75
130,Sept-Îles,CA,2022-05-28 14:30:02,50.2001,-66.3821,44.06,95,100,23.02
131,San Patricio,US,2022-05-28 14:30:49,28.017,-97.5169,84.07,59,16,12.1
132,Kholodnyy,RU,2022-05-28 14:30:52,62.7167,147.95,40.17,78,100,2.04
133,Butaritari,KI,2022-05-28 14:30:53,3.0707,172.7902,81.57,74,96,11.77
134,Codrington,AU,2022-05-28 14:30:53,-38.2667,141.9667,52.21,80,97,5.68
135,Kloulklubed,PW,2022-05-28 14:30:53,7.0419,134.2556,75.7,75,100,12.48
136,Saint-Augustin,CA,2022-05-28 14:30:54,51.226,-58.6502,47.3,64,100,17.36
137,Atar,MR,2022-05-28 14:28:48,20.5169,-13.0499,99.3,23,85,8.7
138,Tilichiki,RU,2022-05-28 14:30:54,60.4667,166.1,35.26,99,100,3.04
139,Lucera,IT,2022-05-28 14:30:55,41.5082,15.3351,84.29,32,0,16.11
140,Ancud,CL,2022-05-28 14:30:55,-41.8697,-73.8203,46.18,70,99,5.64
141,Tigil',RU,2022-05-28 14:30:55,57.8,158.6667,34.05,86,52,3.44
142,Cassilândia,BR,2022-05-28 14:30:56,-19.1133,-51.7342,85.06,33,0,8.81
143,Hualmay,PE,2022-05-28 14:30:56,-11.0964,-77.6139,66.27,74,66,7.54
144,Nome,US,2022-05-28 14:30:56,64.5011,-165.4064,35.67,93,100,5.75
145,Constitución,CL,2022-05-28 14:30:57,-35.3333,-72.4167,49.98,46,96,6.26
146,Hilo,US,2022-05-28 14:27:04,19.7297,-155.09,73.27,93,100,4.61
147,Clyde River,CA,2022-05-28 14:30:57,70.4692,-68.5914,19.63,79,75,6.91
148,Along,IN,2022-05-28 14:30:57,28.1667,94.7667,71.78,97,11,0.81
149,Mmathubudukwane,BW,2022-05-28 14:30:58,-24.6,26.4333,71.82,37,0,5.61
150,Aksarka,RU,2022-05-28 14:30:59,66.5606,67.7975,60.04,38,16,20.24
151,New Norfolk,AU,2022-05-28 14:31:00,-42.7826,147.0587,43.72,86,26,1.77
152,Nanortalik,GL,2022-05-28 14:28:43,60.1432,-45.2371,41.45,75,94,4.68
153,The Valley,AI,2022-05-28 14:31:00,18.217,-63.0578,84.06,69,20,16.11
154,Nara,JP,2022-05-28 14:31:01,34.6851,135.8049,70.5,46,73,2.66
155,Henties Bay,NA,2022-05-28 14:31:01,-22.116,14.2845,58.98,81,55,13.56
156,Tasiilaq,GL,2022-05-28 14:31:02,65.6145,-37.6368,39.36,96,100,30.74
157,La Providencia,MX,2022-05-28 14:31:02,28.7167,-111.5833,80.2,32,1,4.88
158,Mae Sai,TH,2022-05-28 14:31:03,20.4335,99.8762,75.85,87,88,1.79
159,Bodden Town,KY,2022-05-28 14:31:03,19.2833,-81.25,87.01,74,40,8.05
160,Deputatsky,RU,2022-05-28 14:31:04,69.3,139.9,19.15,93,29,2.28
161,Pamekasan,ID,2022-05-28 14:31:04,-7.1568,113.4746,79.23,83,65,2.19
162,Naukot,PK,2022-05-28 14:31:04,24.8587,69.4024,91.4,47,1,20.54
163,Sinjār,IQ,2022-05-28 14:31:05,36.3209,41.8754,92.5,8,0,9.46
164,Teruel,ES,2022-05-28 14:31:05,40.6667,-0.6667,75.27,26,10,10.96
165,Maragogi,BR,2022-05-28 14:31:06,-9.0122,-35.2225,77.7,85,100,13.58
166,Arrondissement de Saint-Gaudens,FR,2022-05-28 14:31:06,43.0833,0.6667,75.52,48,57,7.16
167,Los Llanos de Aridane,ES,2022-05-28 14:31:06,28.6585,-17.9182,67.75,70,100,10.0
168,Mar del Plata,AR,2022-05-28 14:27:31,-38.0023,-57.5575,48.94,71,100,1.99
169,Avera,US,2022-05-28 14:31:07,33.194,-82.5271,76.55,49,0,6.87
170,Lompoc,US,2022-05-28 14:27:24,34.6391,-120.4579,54.59,89,100,14.0
171,Purgstall,AT,2022-05-28 14:31:07,48.0584,15.1348,66.54,44,48,12.57
172,Quepos,CR,2022-05-28 14:31:08,9.4236,-84.1652,81.1,78,67,1.59
173,Vila Velha,BR,2022-05-28 14:31:08,-20.3297,-40.2925,80.55,71,75,6.91
174,Kjøllefjord,NO,2022-05-28 14:31:08,70.9457,27.3465,53.65,68,54,18.54
175,Ban Nahin,LA,2022-05-28 14:31:09,18.2418,104.2122,75.33,95,86,2.98
176,Tuktoyaktuk,CA,2022-05-28 14:31:09,69.4541,-133.0374,24.8,86,100,9.22
177,Pevek,RU,2022-05-28 14:31:10,69.7008,170.3133,26.31,83,74,3.94
178,Warwick,US,2022-05-28 14:26:24,41.7001,-71.4162,69.76,89,100,10.36
179,Pacific Grove,US,2022-05-28 14:31:10,36.6177,-121.9166,56.01,92,100,7.0
180,Mount Gambier,AU,2022-05-28 14:31:10,-37.8333,140.7667,48.11,100,75,4.61
181,Lock Haven,US,2022-05-28 14:28:09,41.137,-77.4469,68.49,84,100,5.55
182,Provideniya,RU,2022-05-28 14:31:11,64.3833,-173.3,39.02,85,13,6.71
183,Khandagayty,RU,2022-05-28 14:31:11,50.7333,92.05,61.27,37,27,4.36
184,Faanui,PF,2022-05-28 14:31:12,-16.4833,-151.75,80.91,67,8,16.04
